Item Status,Item,Cert Number,Grade,Issuer Grade,Autograph Grade,Year,Set,Card Number,Subject,Variety,Serial,My Cost,PSA Estimate,Gain/Loss,My Value,Date Acquired,Source,My Notes,Vault Status,Vaulted Date,Days Vaulted,Listing Status,Listing Date,Listing Price,Sold Status,Sold On,Sold Date,Sold Price,Sold Fees,Sold Proceeds,Payment Date
Active,"Ineligible Item - Please Send Home | Raw Leaf Double Booked Card, 2/5, Lionel Messi, Erling Haaland",VIH00000044269,VIH,,,,,,,,,,,,,,,,Unvaulted,########,110,-,-,-,-,-,-,-,-,-,-
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | Unaccepted raw card from AG,VIH00000042842,VIH,,,,,,,,,,,,,,,,Unvaulted,########,113,-,-,-,-,-,-,-,-,-,-
Active,2022 PANINI GOLD STANDARD #43 TREVOR LAWRENCE BLACK 1/1 1/1,87808007,PSA,8,-,2022,PANINI GOLD STANDARD,43,TREVOR LAWRENCE BLACK 1/1,,1-Jan,-,221.82,-,-,-,-,-,Unvaulted,1/17/2026,58,-,-,-,-,-,-,-,-,-,-
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | Unaccepted raw card from AG,VIH00000043279,VIH,,,,,,,,,,,,,,,,Unvaulted,12/8/2025,98,-,-,-,-,-,-,-,-,-,-
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | Unaccepted raw card from AG,VIH00000043351,VIH,,,,,,,,,,,,,,,,Unvaulted,12/8/2025,98,-,-,-,-,-,-,-,-,-,-
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | Unaccepted raw card from AG,VIH00000042833,VIH,,,,,,,,,,,,,,,,Unvaulted,########,113,-,-,-,-,-,-,-,-,-,-
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | Unaccepted raw card from AG,VIH00000042835,VIH,,,,,,,,,,,,,,,,Unvaulted,########,113,-,-,-,-,-,-,-,-,-,-
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | Unaccepted raw card from AG,VIH00000042864,VIH,,,,,,,,,,,,,,,,Unvaulted,########,113,-,-,-,-,-,-,-,-,-,-
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | Unaccepted raw cards from AG,VIH00000043315,VIH,,,,,,,,,,,,,,,,Unvaulted,12/8/2025,98,-,-,-,-,-,-,-,-,-,-
Active,INELIGIBLE ITEMS- PLEASE SHIP HOME! | 1x pack of sports cards and 1x jumbo Patrick MaHomes II football card,VIH00000043052,VIH,,,,,,,,,,,,,,,,Unvaulted,########,116,-,-,-,-,-,-,-,-,-,-
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | Unaccepted raw cards from AG,VIH00000043301,VIH,,,,,,,,,,,,,,,,Unvaulted,12/8/2025,98,-,-,-,-,-,-,-,-,-,-
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | Unaccepted raw card from AG,VIH00000043282,VIH,,,,,,,,,,,,,,,,Unvaulted,12/8/2025,98,-,-,-,-,-,-,-,-,-,-
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | 1x Raw Card: Panini Prizm Stephen Curry,VIH00000043374,VIH,,,,,,,,,,,,,,,,Unvaulted,12/4/2025,102,-,-,-,-,-,-,-,-,-,-
Active,PLEASE SEND HOME - UNACCEPTED ITEM | 1x Raw Card 2025 Topps Will Riley,VIH00000044893,VIH,,,,,,,,,,,,,,,,Unvaulted,1/3/2026,73,-,-,-,-,-,-,-,-,-,-
Active,2013-14 Exquisite Collection #ESLJ Lebron James Exquisite Signatures,0012826531,BGS,8.5,-,2013-14,Exquisite Collection ESLJ Lebron James Exquisite Signatures,,,,-,-,-,-,-,-,-,-,Vaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,INELIGIBLE ITEM - PLEASE SEND BACK | Raw card: 2024-25 Panini Immaculate Collection Shai Gilgeous-Alexander #MAT-SGA patch numbered 04/25,VIH00000042802,VIH,,,,,,,,,,,,,,,,Unvaulted,########,110,-,-,-,-,-,-,-,-,-,-
Active,INELLIGIBLE ITEM - PLEASE SHIP HOME | 2023-24 Panini - National Treasures Basketball No. 93 Anthony Edwards Minnesota Timberwolves,VIH00000043208,VIH,,,,,,,,,,,,,,,,Unvaulted,########,116,-,-,-,-,-,-,-,-,-,-
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | 1x 2024 Panini Donruss Optic No. 10 Caleb Williams/Rome Odunze Raw Card,VIH00000045634,VIH,,,,,,,,,,,,,,,,Unvaulted,1/16/2026,59,-,-,-,-,-,-,-,-,-,-
Active,Ineligible Item - Please Send Home | 1x Raw Card: 2016-17 Panini Immaculate Collection #12 Joel Embiid (20/50),VIH00000043238,VIH,,,,,,,,,,,,,,,,Unvaulted,########,111,-,-,-,-,-,-,-,-,-,-
Active,"Ineligible Item - Please Send Home | 1x Raw 2024-25 Panini Prizm Tyrese Maxey, 05/10, Auto",VIH00000042551,VIH,,,,,,,,,,,,,,,,Unvaulted,11/7/2025,130,-,-,-,-,-,-,-,-,-,-
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | Unaccepted raw card from AG,VIH00000042917,VIH,,,,,,,,,,,,,,,,Unvaulted,########,113,-,-,-,-,-,-,-,-,-,-
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | Unaccepted raw card from AG,VIH00000042894,VIH,,,,,,,,,,,,,,,,Unvaulted,########,113,-,-,-,-,-,-,-,-,-,-
Active,"4x Assorted Immaculate NBA cards, 1x National Treasures NBA Card | Ineligible item",VIH00000042054,VIH,,,,,,,,,,,,,,,,Unvaulted,########,116,-,-,-,-,-,-,-,-,-,-
Active,INELIGIBLE ITEM- PLEASE SHIP HOME! | 1x cased slabe with no brand seal- 2025 Topps LEBRON JAMES #SA-1,VIH00000042240,VIH,,,,,,,,,,,,,,,,Unvaulted,11/9/2025,128,-,-,-,-,-,-,-,-,-,-
Active,INELIGIBLE ITEM - SEND HOME | Raw Card: 2018-19 Panini-Status Basketball Luka Doncic #172,VIH00000043574,VIH,,,,,,,,,,,,,,,,Unvaulted,########,110,-,-,-,-,-,-,-,-,-,-
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | Unaccepted raw card from AG,VIH00000042896,VIH,,,,,,,,,,,,,,,,Unvaulted,########,112,-,-,-,-,-,-,-,-,-,-
Active,INELIGIBLE ITEM - PLEASE RETURN TO SENDER | 1x Raw Card: 2023 Spectra Basketball Victor Wembanyama Max Impact /49,VIH00000044600,VIH,,,,,,,,,,,,,,,,Unvaulted,1/16/2026,59,-,-,-,-,-,-,-,-,-,-
Active,INELIGIBLE ITEM - PLEASE SEND BACK | Raw card: 2025 Topps Bowman U Best Braden Smith #GAA-BS auto numbered 3/5,VIH00000042712,VIH,,,,,,,,,,,,,,,,Unvaulted,########,116,-,-,-,-,-,-,-,-,-,-
Active,INELIGIBLE ITEM- PLEASE SHIP HOME! | 1x cased slab without brand seal- JALEN DUREN 2/5 card,VIH00000042981,VIH,,,,,,,,,,,,,,,,Unvaulted,########,125,-,-,-,-,-,-,-,-,-,-
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | 1x Raw Card: 2024-25 Panini Prizm Black #88 Tyler Herro,VIH00000043127,VIH,,,,,,,,,,,,,,,,Unvaulted,########,112,-,-,-,-,-,-,-,-,-,-
Active,"Ineligible Item, PLEASE SEND HOME | Raw Fernando Mendoza 1st Bowman Gold Shimmer",VIH00000043028,VIH,,,,,,,,,,,,,,,,Unvaulted,1/7/2026,68,-,-,-,-,-,-,-,-,-,-
Active,"INELIGIBLE ITEMS - PLEASE SHIP HOME | 3x Panini NFL cards (Tiki Barber, Gabriel Davis, Tyjae Spears), Kristap Porzingis - Celtics",VIH00000042159,VIH,,,,,,,,,,,,,,,,Unvaulted,########,125,-,-,-,-,-,-,-,-,-,-
Active,Topps Ronald Acuna Jr. /Anthony Volpe Backign Error Card  | Ineligible item,VIH00000042683,VIH,,,,,,,,,,,,,,,,Unvaulted,########,112,-,-,-,-,-,-,-,-,-,-
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | Unaccepted raw card from AG,VIH00000042898,VIH,,,,,,,,,,,,,,,,Unvaulted,########,112,-,-,-,-,-,-,-,-,-,-
Active,Ineligible Item - Please Send Home | 1x Raw Card: 2024 Topps Merlin Collection,VIH00000043512,VIH,,,,,,,,,,,,,,,,Unvaulted,12/4/2025,102,-,-,-,-,-,-,-,-,-,-
Active,INELIGIBLE ITEM- PLEASE SHIP HOME! | 1x cased slab without a brand seal-2020-21 Panini National Treasures basketball #RLO-DOT DANIEL OTURU Rookie Logoman with officially licensed material in card,VIH00000042740,VIH,,,,,,,,,,,,,,,,Unvaulted,########,116,-,-,-,-,-,-,-,-,-,-
Active,"4x Assorted Immaculate NBA cards, 1x National Treasures NBA Card | Ineligible item",VIH00000042054,VIH,,,,,,,,,,,,,,,,Unvaulted,########,116,-,-,-,-,-,-,-,-,-,-
Active,INELIGIBLE ITEM- PLEASE SHIP HOME! | 1x cased slabe with no brand seal- 2025 Topps LEBRON JAMES #SA-1,VIH00000042240,VIH,,,,,,,,,,,,,,,,Unvaulted,11/9/2025,128,-,-,-,-,-,-,-,-,-,-
Active,INELIGIBLE ITEM - SEND HOME | Raw Card: 2018-19 Panini-Status Basketball Luka Doncic #172,VIH00000043574,VIH,,,,,,,,,,,,,,,,Unvaulted,########,110,-,-,-,-,-,-,-,-,-,-
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | Unaccepted raw card from AG,VIH00000042896,VIH,,,,,,,,,,,,,,,,Unvaulted,########,112,-,-,-,-,-,-,-,-,-,-
Active,INELIGIBLE ITEM - PLEASE RETURN TO SENDER | 1x Raw Card: 2023 Spectra Basketball Victor Wembanyama Max Impact /49,VIH00000044600,VIH,,,,,,,,,,,,,,,,Unvaulted,1/16/2026,59,-,-,-,-,-,-,-,-,-,-
Active,INELIGIBLE ITEM - PLEASE SEND BACK | Raw card: 2025 Topps Bowman U Best Braden Smith #GAA-BS auto numbered 3/5,VIH00000042712,VIH,,,,,,,,,,,,,,,,Unvaulted,########,116,-,-,-,-,-,-,-,-,-,-
Active,INELIGIBLE ITEM- PLEASE SHIP HOME! | 1x cased slab without brand seal- JALEN DUREN 2/5 card,VIH00000042981,VIH,,,,,,,,,,,,,,,,Unvaulted,########,125,-,-,-,-,-,-,-,-,-,-
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | 1x Raw Card: 2024-25 Panini Prizm Black #88 Tyler Herro,VIH00000043127,VIH,,,,,,,,,,,,,,,,Unvaulted,########,112,-,-,-,-,-,-,-,-,-,-
Active,"Ineligible Item, PLEASE SEND HOME | Raw Fernando Mendoza 1st Bowman Gold Shimmer",VIH00000043028,VIH,,,,,,,,,,,,,,,,Unvaulted,1/7/2026,68,-,-,-,-,-,-,-,-,-,-
Active,"INELIGIBLE ITEMS - PLEASE SHIP HOME | 3x Panini NFL cards (Tiki Barber, Gabriel Davis, Tyjae Spears), Kristap Porzingis - Celtics",VIH00000042159,VIH,,,,,,,,,,,,,,,,Unvaulted,########,125,-,-,-,-,-,-,-,-,-,-
Active,2024-25 Panini Eminence Basketball #PPA-MOB Evan Mobley | 1/1 Patch Autograph Encased,VIH00000043336,VIH,,,,,,,,,,,,,,,,Unvaulted,12/8/2025,99,-,-,-,-,-,-,-,-,-,-
Active,INELIGIBLE ITEM- PLEASE SHIP HOME! | 1x cased slab- 2025 WildCard Pow Rookie Comix BHAYSHUL TUTEN  with autograph,VIH00000042998,VIH,,,,,,,,,,,,,,,,Unvaulted,########,125,-,-,-,-,-,-,-,-,-,-
Active,Ineligible Item - Please Send Home | 1x Raw 2024-25 Panini Prizm Black Jayson Tatum #139,VIH00000043986,VIH,,,,,,,,,,,,,,,,Unvaulted,1/7/2026,68,-,-,-,-,-,-,-,-,-,-
Active,INELLIGIBLE ITEM - PLEASE SHIP HOME | DD-33 VJ Edgecombe Daily Dribble Guard,VIH00000042367,VIH,,,,,,,,,,,,,,,,Unvaulted,11/7/2025,130,-,-,-,-,-,-,-,-,-,-
Active,INELIGIBLE ITEMS - PLEASE SHIP HOME | 5x Raw 2025 Topps Roki Sasaki Baseball Cards,VIH00000042176,VIH,,,,,,,,,,,,,,,,Unvaulted,########,116,-,-,-,-,-,-,-,-,-,-
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | Unaccepted raw card from AG,VIH00000042898,VIH,,,,,,,,,,,,,,,,Unvaulted,########,112,-,-,-,-,-,-,-,-,-,-
Active,Ineligible Item - Please Send Home | 1x Raw Card: 2024 Topps Merlin Collection,VIH00000043512,VIH,,,,,,,,,,,,,,,,Unvaulted,12/4/2025,102,-,-,-,-,-,-,-,-,-,-
Active,INELIGIBLE ITEM- PLEASE SHIP HOME! | 1x cased slab without a brand seal-2020-21 Panini National Treasures basketball #RLO-DOT DANIEL OTURU Rookie Logoman with officially licensed material in card,VIH00000042740,VIH,,,,,,,,,,,,,,,,Unvaulted,########,116,-,-,-,-,-,-,-,-,-,-
Active,INELIGIBLE ITEM- PLEASE SHIP HOME! | 1x cased slab without brand seal- 2023-24 Panini Immaculate Ink Collection #II-PAU PAU GASOL with autograph,VIH00000043107,VIH,,,,,,,,,,,,,,,,Unvaulted,########,116,-,-,-,-,-,-,-,-,-,-
Active,INELIGIBLE ITEM- PLEASE SHIP HOME! | 1x raw football card- 2025 Leaf Trading Cards Chalk It Up JUSTIN JEFFERSON #CU-JJ3 with autograph,VIH00000042254,VIH,,,,,,,,,,,,,,,,Unvaulted,11/9/2025,128,-,-,-,-,-,-,-,-,-,-
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | 1x Raw Card: 2023 Panini Absolute Football Rookie Force #RF-23 Jahmyr Gibbs,VIH00000043190,VIH,,,,,,,,,,,,,,,,Unvaulted,########,112,-,-,-,-,-,-,-,-,-,-
Active,INELIGIBLE ITEM - PLEASE SEND HOME | x1 Raw 2025 Topps All Kings No.AK-13 Jalen Brunson,VIH00000042153,VIH,,,,,,,,,,,,,,,,Unvaulted,########,124,-,-,-,-,-,-,-,-,-,-
Active,INELIGIBLE ITEM - PLEASE SEND HOME | x1 Leaf Graded 2022 Pro Set Metal Autographed Pre-Production Proof Anthony Richardson Kaleidoscope Pink 1/1,VIH00000043681,VIH,,,,,,,,,,,,,,,,Unvaulted,########,110,-,-,-,-,-,-,-,-,-,-
Active,INELIGIBLE ITEM-PLEASE SHIP HOME! | 1x cased slab without a brand seal- 2021 Panini  Donruss Optic football Devonta Smith #205 Rated Rookie,VIH00000042186,VIH,,,,,,,,,,,,,,,,Unvaulted,########,124,-,-,-,-,-,-,-,-,-,-
Active,Ineligible Item - Please Send Home | 1x Raw Card: 2025 Panini Score Football #SA-BBS Brock Bowers Step Ahead Lenticular,VIH00000042216,VIH,,,,,,,,,,,,,,,,Unvaulted,########,124,-,-,-,-,-,-,-,-,-,-
Active,Ineligible Item Please Send Home | 1x Raw 2024-25 Donruss Optics Kristaps Porzingis,VIH00000042223,VIH,,,,,,,,,,,,,,,,Unvaulted,########,124,-,-,-,-,-,-,-,-,-,-
Active,Sealed encased 2025-26 Panini Instant VJ Edgecombe #1 | Auto numbered 61 of 99,VIH00000042046,VIH,,,,,,,,,,,,,,,,Unvaulted,########,117,-,-,-,-,-,-,-,-,-,-
Active,2019-20 Panini - Obsidian Basketball Giannis Antetokounmpo #MA-GAN | Encased Ungraded Panini Sealed,VIH00000043089,VIH,,,,,,,,,,,,,,,,Unvaulted,########,115,-,-,-,-,-,-,-,-,-,-
Active,2022 PANINI FLAWLESS BASKETBALL STEPHEN CURRY #75A-SCU | AUTHENTIC AUTOGRAPH GUARANTEED BY PANINI AMERICA,VIH00000042235,VIH,,,,,,,,,,,,,,,,Unvaulted,########,117,-,-,-,-,-,-,-,-,-,-
Active,2023-24 Panini Immaculate Collection Basketball #ILE-YM Yao Ming | Legends Autograph 31/49 Encased,VIH00000042920,VIH,,,,,,,,,,,,,,,,Unvaulted,########,90,-,-,-,-,-,-,-,-,-,-
Active,Encased 2021-22 Panini Flawless #DGS-LDD Luka Doncic | Draft Gem Signatures 17/25,VIH00000044287,VIH,,,,,,,,,,,,,,,,Unvaulted,12/4/2025,102,-,-,-,-,-,-,-,-,-,-
Active,1x 2024 Topps Encased Memorabilia Victor Wembanyama | Autographed WAR-10A,VIH00000041508,VIH,,,,,,,,,,,,,,,,Unvaulted,########,126,-,-,-,-,-,-,-,-,-,-
Active,No. FPS-SGA Shai Gilgeous- Alexander - OKC Thunder | 2024-25 Panini - Flawless Basketball,VIH00000042989,VIH,,,,,,,,,,,,,,,,Unvaulted,########,118,-,-,-,-,-,-,-,-,-,-
Active,Encased 2024 Panini One #178 Amon-Ra St. Brown | One Man Show Autograph Ruby 6/25,VIH00000044296,VIH,,,,,,,,,,,,,,,,Unvaulted,########,110,-,-,-,-,-,-,-,-,-,-
Active,2024 TOPPS CHROME MCDONALD'S ALL AMERICAN #50 LEBRON JAMES RED REFRACTORS,0018029699,BGS,9.5,-,2024,TOPPS CHROME MCDONALD'S ALL AMERICAN,50,LEBRON JAMES RED REFRACTORS,,-,-,-,-,-,-,-,-,Vaulted,2/5/2026,40,Fixed Price,2/10/2026,2999,-,eBay,-,-,-,-,-
Active,1998 FINEST #234 DIRK NOWITZKI,01706109,PSA,10,-,1998,FINEST,234,DIRK NOWITZKI -,,-,-,104.76,-,-,-,-,-,Vaulted,2/5/2026,39,Fixed Price,2/11/2026,199.99,-,eBay,-,-,-,-,-
Active,2024 PANINI MOSAIC #286 LeBRON JAMES SPECTRIS GREEN FOTL 2/5,1.24E+08,PSA,9,-,2024,PANINI MOSAIC,286,LeBRON JAMES SPECTRIS GREEN FOTL,,5-Feb,-,-,-,-,-,-,-,Vaulted,2/3/2026,41,Fixed Price,2/11/2026,2399.99,-,eBay,-,-,-,-,-
Active,2023 BOWMAN UNIVERSITY BEST BEST OF 2023 AUTOGRAPHS #B23AR ANGEL REESE GOLD REFRACTOR 21/50,89219839,PSA,10,-,2023,BOWMAN UNIVERSITY BEST BEST OF,2023,AUTOGRAPHS B23AR ANGEL REESE GOLD REFRACTOR,,21/50,-,322.78,-,-,-,-,-,Vaulted,2/11/2026,33,Fixed Price,2/12/2026,499,-,eBay,-,-,-,-,-
Active,Ineligible Item Please Send Home | 1x Raw 2025 Topps Reo Hatate #24/50,VIH00000045529,VIH,,,,,,,,,,,,,,,,Unvaulted,1/28/2026,48,-,-,-,-,-,-,-,-,-,-
Active,"1x Raw 2025 Topps NBA Ajay Mitchell, Autographed No. SWS-AM | Ineligible",VIH00000045923,VIH,,,,,,,,,,,,,,,,Unvaulted,1/28/2026,48,-,-,-,-,-,-,-,-,-,-
Active,2024 TOPPS TRIBUTE ICONIC PERSPECTIVES AUTOGRAPHS #IPAMS MIKE SCHMIDT 18/30,94483258,PSA,10,-,2024,TOPPS TRIBUTE ICONIC PERSPECTIVES AUTOGRAPHS IPAMS MIKE SCHMIDT -,,,,18/30,-,212.81,-,-,-,-,-,Unvaulted,########,123,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI ABSOLUTE KABOOM! HORIZONTAL #2 CJ STROUD,1.16E+08,PSA,10,-,2024,PANINI ABSOLUTE KABOOM! HORIZONTAL,2,CJ STROUD -,,-,825,705.91,-119.09,-,1/17/2026,eBay,-,Unvaulted,8/30/2025,59,-,-,-,-,-,-,-,-,-,-
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | 1x Black Leather Playing Card Letter K LeBron James Raw Card,VIH00000045601,VIH,,,,,,,,,,,,,,,,Unvaulted,1/31/2026,44,-,-,-,-,-,-,-,-,-,-
Active,Ineligible Item - Please Send Home | 1x Raw Sports Card,VIH00000045077,VIH,,,,,,,,,,,,,,,,Unvaulted,1/30/2026,46,-,-,-,-,-,-,-,-,-,-
Active,2024-25 TOPPS CHROME DELUXE EDITION MANCHESTER UNITED SPEAK OF THE DEVIL AUTOGRAPHS #SD-ZI ZLATAN IBRAHIMOVIC ORANGE REFRACTOR 7/25,1.26E+08,PSA,9,-,2024-25,TOPPS CHROME DELUXE EDITION MANCHESTER UNITED SPEAK OF THE DEVIL AUTOGRAPHS,SD-ZI,ZLATAN IBRAHIMOVIC ORANGE REFRACTOR,,25-Jul,-,-,-,-,-,-,-,Unvaulted,1/2/2026,73,-,-,-,-,-,-,-,-,-,-
Active,2004 FINEST #122 YAO MING JERSEY-REFRACTOR 117/179,98037939,PSA,10,-,2004,FINEST,122,YAO MING JERSEY-REFRACTOR,,117/179,-,186.18,-,-,-,-,-,Vaulted,1/16/2026,59,Fixed Price,2/12/2026,349,-,eBay,-,-,-,-,-
Active,1964 TOPPS #331 A.L. BOMBERS MARIS/CASH/MANTLE/KALINE,22680565,PSA,9,-,1964,TOPPS,331,A.L. BOMBERS MARIS/CASH/MANTLE/KALINE,,-,-,2914.1,-,-,-,-,-,Vaulted,1/7/2026,68,Fixed Price,2/15/2026,4999,-,eBay,-,-,-,-,-
Active,2024 PANINI SELECT SIGNATURES #SIGKAJ KAREEM ABDUL-JABBAR GOLD PRIZM 8/10,1.25E+08,PSA,10,-,2024,PANINI SELECT SIGNATURES SIGKAJ KAREEM,ABDUL-JABBAR,GOLD PRIZM,,10-Aug,-,-,-,-,-,-,-,Vaulted,########,121,Fixed Price,2/15/2026,1499,-,eBay,-,-,-,-,-
Active,2016 Panini Court Kings Autograph #129 Stephen Curry,0695672,SGC,9.5,-,2016,Panini Court Kings Autograph,129,Stephen Curry -,,-,3750,-,-,3750,-,-,-,Vaulted,1/13/2026,62,Fixed Price,2/15/2026,5999,-,eBay,-,-,-,-,-
Active,2007 Exquisite #5 Michael Jordan,0016983784,BGS,8,-,2007,Exquisite,5,Michael Jordan -,,-,-,-,-,-,-,-,-,Vaulted,########,121,Fixed Price,2/15/2026,1099,-,eBay,-,-,-,-,-
Active,2023 BOWMAN UNIVERSITY BEST BEST OF 2023 AUTOGRAPHS #B23AR ANGEL REESE GOLD REFRACTOR 21/50,89219839,PSA,10,-,2023,BOWMAN UNIVERSITY BEST BEST OF,2023,AUTOGRAPHS B23AR ANGEL REESE GOLD REFRACTOR,,21/50,-,322.78,-,-,-,-,-,Vaulted,2/11/2026,33,Fixed Price,2/12/2026,499,-,eBay,-,-,-,-,-
Active,Ineligible Item Please Send Home | 1x Raw 2025 Topps Reo Hatate #24/50,VIH00000045529,VIH,,,,,,,,,,,,,,,,Unvaulted,1/28/2026,48,-,-,-,-,-,-,-,-,-,-
Active,"1x Raw 2025 Topps NBA Ajay Mitchell, Autographed No. SWS-AM | Ineligible",VIH00000045923,VIH,,,,,,,,,,,,,,,,Unvaulted,1/28/2026,48,-,-,-,-,-,-,-,-,-,-
Active,2024 TOPPS TRIBUTE ICONIC PERSPECTIVES AUTOGRAPHS #IPAMS MIKE SCHMIDT 18/30,94483258,PSA,10,-,2024,TOPPS TRIBUTE ICONIC PERSPECTIVES AUTOGRAPHS IPAMS MIKE SCHMIDT -,,,,18/30,-,212.81,-,-,-,-,-,Unvaulted,########,123,-,-,-,-,-,-,-,-,-,-
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | 1x Black Leather Playing Card Letter K LeBron James Raw Card,VIH00000045601,VIH,,,,,,,,,,,,,,,,Unvaulted,1/31/2026,44,-,-,-,-,-,-,-,-,-,-
Active,Ineligible Item - Please Send Home | 1x Raw Sports Card,VIH00000045077,VIH,,,,,,,,,,,,,,,,Unvaulted,1/30/2026,46,-,-,-,-,-,-,-,-,-,-
