item_status,description,cert_number,issuer,grade,vault_status
Active,INELIGIBLE ITEM - PLEASE SEND BACK | Raw card: 2024-25 Panini Immaculate Collection Shai Gilgeous-Alexander #MAT-SGA patch numbered 04/25,VIH00000042802,VIH,-,Unvaulted
Active,INELLIGIBLE ITEM - PLEASE SHIP HOME | 2023-24 Panini - National Treasures Basketball No. 93 Anthony Edwards Minnesota Timberwolves,VIH00000043208,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | 1x 2024 Panini Donruss Optic No. 10 Caleb Williams/Rome Odunze Raw Card,VIH00000045634,VIH,-,Unvaulted
Active,Ineligible Item - Please Send Home | 1x Raw Card: 2016-17 Panini Immaculate Collection #12 Joel Embiid (20/50),VIH00000043238,VIH,-,Unvaulted
Active,"Ineligible Item - Please Send Home | 1x Raw 2024-25 Panini Prizm Tyrese Maxey, 05/10, Auto",VIH00000042551,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | Unaccepted raw card from AG,VIH00000042917,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | Unaccepted raw card from AG,VIH00000042894,VIH,-,Unvaulted
Active,"4x Assorted Immaculate NBA cards, 1x National Treasures NBA Card | Ineligible item",VIH00000042054,VIH,-,Unvaulted
Active,INELIGIBLE ITEM- PLEASE SHIP HOME! | 1x cased slabe with no brand seal- 2025 Topps LEBRON JAMES #SA-1,VIH00000042240,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - SEND HOME | Raw Card: 2018-19 Panini-Status Basketball Luka Doncic #172,VIH00000043574,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | Unaccepted raw card from AG,VIH00000042896,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE RETURN TO SENDER | 1x Raw Card: 2023 Spectra Basketball Victor Wembanyama Max Impact /49,VIH00000044600,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SEND BACK | Raw card: 2025 Topps Bowman U Best Braden Smith #GAA-BS auto numbered 3/5,VIH00000042712,VIH,-,Unvaulted
Active,INELIGIBLE ITEM- PLEASE SHIP HOME! | 1x cased slab without brand seal- JALEN DUREN 2/5 card,VIH00000042981,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | 1x Raw Card: 2024-25 Panini Prizm Black #88 Tyler Herro,VIH00000043127,VIH,-,Unvaulted
Active,"Ineligible Item, PLEASE SEND HOME | Raw Fernando Mendoza 1st Bowman Gold Shimmer",VIH00000043028,VIH,-,Unvaulted
Active,"INELIGIBLE ITEMS - PLEASE SHIP HOME | 3x Panini NFL cards (Tiki Barber, Gabriel Davis, Tyjae Spears), Kristap Porzingis - Celtics",VIH00000042159,VIH,-,Unvaulted
Active,Topps Ronald Acuna Jr. /Anthony Volpe Backign Error Card  | Ineligible item,VIH00000042683,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | Unaccepted raw card from AG,VIH00000042898,VIH,-,Unvaulted
Active,Ineligible Item - Please Send Home | 1x Raw Card: 2024 Topps Merlin Collection,VIH00000043512,VIH,-,Unvaulted
Active,INELIGIBLE ITEM- PLEASE SHIP HOME! | 1x cased slab without a brand seal-2020-21 Panini National Treasures basketball #RLO-DOT DANIEL OTURU Rookie Logoman with officially licensed material in card,VIH00000042740,VIH,-,Unvaulted
Active,"4x Assorted Immaculate NBA cards, 1x National Treasures NBA Card | Ineligible item",VIH00000042054,VIH,-,Unvaulted
Active,INELIGIBLE ITEM- PLEASE SHIP HOME! | 1x cased slabe with no brand seal- 2025 Topps LEBRON JAMES #SA-1,VIH00000042240,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - SEND HOME | Raw Card: 2018-19 Panini-Status Basketball Luka Doncic #172,VIH00000043574,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | Unaccepted raw card from AG,VIH00000042896,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE RETURN TO SENDER | 1x Raw Card: 2023 Spectra Basketball Victor Wembanyama Max Impact /49,VIH00000044600,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SEND BACK | Raw card: 2025 Topps Bowman U Best Braden Smith #GAA-BS auto numbered 3/5,VIH00000042712,VIH,-,Unvaulted
Active,INELIGIBLE ITEM- PLEASE SHIP HOME! | 1x cased slab without brand seal- JALEN DUREN 2/5 card,VIH00000042981,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | 1x Raw Card: 2024-25 Panini Prizm Black #88 Tyler Herro,VIH00000043127,VIH,-,Unvaulted
Active,"Ineligible Item, PLEASE SEND HOME | Raw Fernando Mendoza 1st Bowman Gold Shimmer",VIH00000043028,VIH,-,Unvaulted
Active,"INELIGIBLE ITEMS - PLEASE SHIP HOME | 3x Panini NFL cards (Tiki Barber, Gabriel Davis, Tyjae Spears), Kristap Porzingis - Celtics",VIH00000042159,VIH,-,Unvaulted
Active,2024-25 Panini Eminence Basketball #PPA-MOB Evan Mobley | 1/1 Patch Autograph Encased,VIH00000043336,VIH,-,Unvaulted
Active,INELIGIBLE ITEM- PLEASE SHIP HOME! | 1x cased slab- 2025 WildCard Pow Rookie Comix BHAYSHUL TUTEN  with autograph,VIH00000042998,VIH,-,Unvaulted
Active,Ineligible Item - Please Send Home | 1x Raw 2024-25 Panini Prizm Black Jayson Tatum #139,VIH00000043986,VIH,-,Unvaulted
Active,INELLIGIBLE ITEM - PLEASE SHIP HOME | DD-33 VJ Edgecombe Daily Dribble Guard,VIH00000042367,VIH,-,Unvaulted
Active,INELIGIBLE ITEMS - PLEASE SHIP HOME | 5x Raw 2025 Topps Roki Sasaki Baseball Cards,VIH00000042176,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | Unaccepted raw card from AG,VIH00000042898,VIH,-,Unvaulted
Active,Ineligible Item - Please Send Home | 1x Raw Card: 2024 Topps Merlin Collection,VIH00000043512,VIH,-,Unvaulted
Active,INELIGIBLE ITEM- PLEASE SHIP HOME! | 1x cased slab without a brand seal-2020-21 Panini National Treasures basketball #RLO-DOT DANIEL OTURU Rookie Logoman with officially licensed material in card,VIH00000042740,VIH,-,Unvaulted
Active,INELIGIBLE ITEM- PLEASE SHIP HOME! | 1x cased slab without brand seal- 2023-24 Panini Immaculate Ink Collection #II-PAU PAU GASOL with autograph,VIH00000043107,VIH,-,Unvaulted
Active,INELIGIBLE ITEM- PLEASE SHIP HOME! | 1x raw football card- 2025 Leaf Trading Cards Chalk It Up JUSTIN JEFFERSON #CU-JJ3 with autograph,VIH00000042254,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | 1x Raw Card: 2023 Panini Absolute Football Rookie Force #RF-23 Jahmyr Gibbs,VIH00000043190,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SEND HOME | x1 Raw 2025 Topps All Kings No.AK-13 Jalen Brunson,VIH00000042153,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SEND HOME | x1 Leaf Graded 2022 Pro Set Metal Autographed Pre-Production Proof Anthony Richardson Kaleidoscope Pink 1/1,VIH00000043681,VIH,-,Unvaulted
Active,INELIGIBLE ITEM-PLEASE SHIP HOME! | 1x cased slab without a brand seal- 2021 Panini  Donruss Optic football Devonta Smith #205 Rated Rookie,VIH00000042186,VIH,-,Unvaulted
Active,Ineligible Item - Please Send Home | 1x Raw Card: 2025 Panini Score Football #SA-BBS Brock Bowers Step Ahead Lenticular,VIH00000042216,VIH,-,Unvaulted
Active,Ineligible Item Please Send Home | 1x Raw 2024-25 Donruss Optics Kristaps Porzingis,VIH00000042223,VIH,-,Unvaulted
Active,Sealed encased 2025-26 Panini Instant VJ Edgecombe #1 | Auto numbered 61 of 99,VIH00000042046,VIH,-,Unvaulted
Active,2019-20 Panini - Obsidian Basketball Giannis Antetokounmpo #MA-GAN | Encased Ungraded Panini Sealed,VIH00000043089,VIH,-,Unvaulted
Active,2022 PANINI FLAWLESS BASKETBALL STEPHEN CURRY #75A-SCU | AUTHENTIC AUTOGRAPH GUARANTEED BY PANINI AMERICA,VIH00000042235,VIH,-,Unvaulted
Active,2023-24 Panini Immaculate Collection Basketball #ILE-YM Yao Ming | Legends Autograph 31/49 Encased,VIH00000042920,VIH,-,Unvaulted
Active,Encased 2021-22 Panini Flawless #DGS-LDD Luka Doncic | Draft Gem Signatures 17/25,VIH00000044287,VIH,-,Unvaulted
Active,1x 2024 Topps Encased Memorabilia Victor Wembanyama | Autographed WAR-10A,VIH00000041508,VIH,-,Unvaulted
Active,No. FPS-SGA Shai Gilgeous- Alexander - OKC Thunder | 2024-25 Panini - Flawless Basketball,VIH00000042989,VIH,-,Unvaulted
Active,Encased 2024 Panini One #178 Amon-Ra St. Brown | One Man Show Autograph Ruby 6/25,VIH00000044296,VIH,-,Unvaulted
Active,2024 TOPPS CHROME MCDONALD'S ALL AMERICAN #50 LEBRON JAMES RED REFRACTORS,0018029699,BGS,9.5,Vaulted
Active,1998 FINEST #234 DIRK NOWITZKI,01706109,PSA,10,Vaulted
Active,2024 PANINI MOSAIC #286 LeBRON JAMES SPECTRIS GREEN FOTL 2/5,124000000,PSA,9,Vaulted
Active,2023 BOWMAN UNIVERSITY BEST BEST OF 2023 AUTOGRAPHS #B23AR ANGEL REESE GOLD REFRACTOR 21/50,89219839,PSA,10,Vaulted
Active,Ineligible Item Please Send Home | 1x Raw 2025 Topps Reo Hatate #24/50,VIH00000045529,VIH,-,Unvaulted
Active,"1x Raw 2025 Topps NBA Ajay Mitchell, Autographed No. SWS-AM | Ineligible",VIH00000045923,VIH,-,Unvaulted
Active,2024 TOPPS TRIBUTE ICONIC PERSPECTIVES AUTOGRAPHS #IPAMS MIKE SCHMIDT 18/30,94483258,PSA,10,Unvaulted
Active,2024 PANINI ABSOLUTE KABOOM! HORIZONTAL #2 CJ STROUD,116000000,PSA,10,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | 1x Black Leather Playing Card Letter K LeBron James Raw Card,VIH00000045601,VIH,-,Unvaulted
Active,Ineligible Item - Please Send Home | 1x Raw Sports Card,VIH00000045077,VIH,-,Unvaulted
Active,2024-25 TOPPS CHROME DELUXE EDITION MANCHESTER UNITED SPEAK OF THE DEVIL AUTOGRAPHS #SD-ZI ZLATAN IBRAHIMOVIC ORANGE REFRACTOR 7/25,126000000,PSA,9,Unvaulted
Active,2004 FINEST #122 YAO MING JERSEY-REFRACTOR 117/179,98037939,PSA,10,Vaulted
Active,1964 TOPPS #331 A.L. BOMBERS MARIS/CASH/MANTLE/KALINE,22680565,PSA,9,Vaulted
Active,2024 PANINI SELECT SIGNATURES #SIGKAJ KAREEM ABDUL-JABBAR GOLD PRIZM 8/10,125000000,PSA,10,Vaulted
Active,2016 Panini Court Kings Autograph #129 Stephen Curry,0695672,SGC,9.5,Vaulted
Active,2007 Exquisite #5 Michael Jordan,0016983784,BGS,8,Vaulted
Active,2023 BOWMAN UNIVERSITY BEST BEST OF 2023 AUTOGRAPHS #B23AR ANGEL REESE GOLD REFRACTOR 21/50,89219839,PSA,10,Vaulted
Active,Ineligible Item Please Send Home | 1x Raw 2025 Topps Reo Hatate #24/50,VIH00000045529,VIH,-,Unvaulted
Active,"1x Raw 2025 Topps NBA Ajay Mitchell, Autographed No. SWS-AM | Ineligible",VIH00000045923,VIH,-,Unvaulted
Active,2024 TOPPS TRIBUTE ICONIC PERSPECTIVES AUTOGRAPHS #IPAMS MIKE SCHMIDT 18/30,94483258,PSA,10,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | 1x Black Leather Playing Card Letter K LeBron James Raw Card,VIH00000045601,VIH,-,Unvaulted
Active,Ineligible Item - Please Send Home | 1x Raw Sports Card,VIH00000045077,VIH,-,Unvaulted
Active,2024-25 TOPPS CHROME DELUXE EDITION MANCHESTER UNITED SPEAK OF THE DEVIL AUTOGRAPHS #SD-ZI ZLATAN IBRAHIMOVIC ORANGE REFRACTOR 7/25,126000000,PSA,9,Unvaulted
Active,2024 PANINI ABSOLUTE KABOOM! HORIZONTAL #2 CJ STROUD,116000000,PSA,10,Unvaulted
Active,2004 FINEST #122 YAO MING JERSEY-REFRACTOR 117/179,98037939,PSA,10,Vaulted
Active,2024 PANINI FLAWLESS #186 ANTHONY DAVIS GOLD 5/5,137000000,PSA,9,Vaulted
Active,2003 TOPPS CHROME #111 LeBRON JAMES,42496220,PSA,9,Vaulted
Active,2020 PANINI DONRUSS OPTIC #151 ANTHONY EDWARDS PURPLE,94285580,PSA,10,Vaulted
Active,2019-20 Crown Royale #10 Ja Morant Kaboom!,0012137166,BGS,9.5,Vaulted
Active,2003 TOPPS CHROME #115 DWYANE WADE REFRACTOR,90992366,PSA,9,Vaulted
Active,2002-03 Topps Pristine #53 Yao Ming Refractors,0002452954,BGS,9,Vaulted
Active,1996-97 Topps Chrome #138 Kobe Bryant,0001060755,BGS,9.5,Vaulted
Active,2017 PANINI STATUS FRESHMAN SIGNATURES #JTG JAYSON TATUM,92706667,PSA,9,Vaulted
Active,2018 PANINI PRIZM #280 LUKA DONCIC CHOICE PRIZM-BLUE/YELLOW/GREEN,62729773,PSA,10,Vaulted
Active,2003 TOPPS CHROME #115 DWYANE WADE REFRACTOR,71367395,PSA,9,Vaulted
Active,2011-12 Exquisite Collection UD Black #BMJ Michael Jordan Autographs,0010170347,BGS,9,Vaulted
Active,1996 TOPPS NBA STARS #124 MICHAEL JORDAN FINEST,119000000,PSA,10,Returning
Active,2021 PANINI PRIZM #37 ANTHONY EDWARDS TIGER STRIPES CHOICE,68542169,PSA,10,Returning
Active,Ineligible Item - Please Send Home | 1x Raw Sports Card,VIH00000045159,VIH,-,Unvaulted
Active,1x 2025 Topps Ace Bailey #NS-AB Autographed | Ineligible,VIH00000046761,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - SEND HOME | Raw Card: 2024 Panini - Absolute Jared Goff #3,VIH00000046153,VIH,-,Unvaulted
Active,Tyrese Maxey | /75,VIH00000045790,VIH,-,Unvaulted
Active,Ineligible Item - Please Send Home | 1x Raw Sports Card,VIH00000045213,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME |  1x 2024 Panini Kaboom! Patrick Mahomes II No.1,VIH00000045227,VIH,-,Unvaulted
Active,INELIGIBLE ITEMS - PLEASE SHIP HOME | 4x Raw Cards,VIH00000046713,VIH,-,Unvaulted
Active,2020-21 PANINI FLAWLESS BASKETBALL NO. DG-AEW ANTHONY EDWARDS DRAFT GEM 15/15 | TIMBERWOLVES- AUTOGRAPH WITH CERT. OF AUTHENTICITY BY PANINI AMERICA INC.,VIH00000046374,VIH,-,Unvaulted
Active,1x 2023 Panini Flawless Jalen Hurts No. 53 | 2/2,VIH00000045809,VIH,-,Unvaulted
Active,Ineligible Item - Please Send Home | 1x Raw Sports Card,VIH00000045211,VIH,-,Unvaulted
Active,No. PC27 Cameron Thomas - Brooklyn Nets | 2021-22 Panini Instant Basketball,VIH00000042189,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - SEND HOME | Raw Card: 2024-25 Panini Revolution Shai Gilgeous-Alexander #10,VIH00000046134,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - SEND HOME | Raw Card: 2019-20 Panini Immaculate Stephen Curry #SC-SCY,VIH00000046150,VIH,-,Unvaulted
Active,2003 FLEER TRADITION #230 YAO MING,130000000,PSA,10,Vaulted
Active,1999 TOPPS HIGHLIGHT REELS #HR4 KOBE BRYANT,48309518,PSA,9,Vaulted
Active,2003 TOPPS #221 LeBRON JAMES,121000000,PSA,9,Vaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | 2025 Topps Chrome Activators #AC-14 Kon Knueppel RC (#04/50),VIH00000046334,VIH,-,Unvaulted
Active,Ineligible Item - Please Send Home | 1x Sports Card,VIH00000046379,VIH,-,Unvaulted
Active,1996 TOPPS #138 KOBE BRYANT,126000000,PSA,10,Vaulted
Active,2018 Panini Flawless Collegiate Dual Patch Autographs #49 Patrick Mahomes II Emerald,0011319848,BGS,8.5,Vaulted
Active,2023 PANINI SELECT #51 LUKA DONCIC TIGER PRIZM,129000000,PSA,10,Vaulted
Active,2006 TOPPS CHROME #67 LeBRON JAMES REFRACTOR,58597126,PSA,9,Vaulted
Active,2023 PANINI CROWN ROYALE KABOOM! #10 YAO MING,147000000,PSA,7,Returning
Active,Ineligible Item - Please Send Home | 1x Raw Sports Card,VIH00000046319,VIH,-,Unvaulted
Active,1996 TOPPS CHROME #171 ALLEN IVERSON,05124914,PSA,10,Vaulted
Active,2020 PANINI DONRUSS OPTIC #151 ANTHONY EDWARDS BLACK VELOCITY,63204195,PSA,10,Vaulted
Active,1997-98 Bowman's Best #60 Michael Jordan Refractors,0018281731,BGS,9,Vaulted
Active,2004 SP Game Used Edition Significance #LJ LeBron James,0003981643,BGS,9,Vaulted
Active,2018 PANINI PRIZM #184 SHAI GILGEOUS-ALEXANDER RED/WHITE/BLUE PRIZM,118000000,PSA,10,Vaulted
Active,2012-13 EXQUISITE COLLECTION #MJ MICHAEL JORDAN/75 UD BLACK AUTOGRAPHS,0012343198,BGS,9.5,Vaulted
Active,2024 PANINI ABSOLUTE KABOOM! HORIZONTAL #2 CJ STROUD,105000000,PSA,10,Vaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | 2026 Topps Chrome All Star #28 Nikola Jokic (#04/10),VIH00000047049,VIH,-,Returning
Active,2023 PANINI PRIZM INSTANT IMPACT #3 VICTOR WEMBANYAMA SILVER PRIZM,92726204,PSA,10,Vaulted
Active,2025 BOWMAN CHROME PROSPECT AUTOGRAPHS #CPAJM JESUS MADE HTA CHOICE REFRACTOR 148/150,126000000,PSA,9,Vaulted
Active,2018 PANINI DONRUSS OPTIC #162 SHAI GILGEOUS-ALEXANDER BLUE VELOCITY,103000000,PSA,10,Vaulted
Active,2020 PANINI PRIZM #256 TYRESE MAXEY RED/WHITE/BLUE PRIZM,69670819,PSA,10,To Vault
Active,2018 PANINI IMPECCABLE #121 SHAI GILGEOUS-ALEXANDER JERSEY AUTOGRAPH 29/99,93668170,PSA,9,Vaulted
Active,"Ineligible Item, PLEASE SEND HOME | Raw James Wood card",VIH00000047396,VIH,-,Unvaulted
Active,2021 PANINI SPECTRA #30 STEPHEN CURRY UNIVERSAL DIE-CUT 3/8,72330659,PSA,10,Unvaulted
Active,2024 TOPPS CHROME UFC #141 SHARA MAGOMEDOV PURPLE REFRACTOR,93983875,PSA,9,Unvaulted
Active,2018 PANINI IMMACULATE COLLECTION THE STANDARD #SGA SHAI GILGEOUS-ALEXANDER 99/99,115000000,PSA,Authentic,Unvaulted
Active,2019 PANINI INDUSTRY SUMMIT #152 NIKOLA JOKIC 2015 NATIONAL TREASURES AUTOGRAPH 1/1 1/1,119000000,PSA,9,Unvaulted
Active,INELLIGIBLE ITEM - PLEASE SHIP HOME | No. HM-AI Allen Iverson Hoops Hot Materials 2004 Fleer/ Skybox International VIH00000042 VIH - - - - - - - - - - - - - - - Unvaulted - - - - - - - - - - - -,,,-,Unvaulted
Active,"INELLIGIBLE ITEMS - PLEASE SHIP HOME | 3x Major League Baseball cards (Fernado Tatis Jr, Graham Pauley, Kavares Tears)",vih00000042196,VIH,-,Returning
Active,2009 UD ULT. Col. #G6J-14 Simms/ Manning/ Bomar/ Aikman/ Romo/ McGee Generation six Jerseys 3/35,6615622,SGC,9,Vaulted
Active,2020-21 Panini National Treasures Treasured Threads #TTHLBJ LeBron James,5346256,SGC,10,Vaulted
Active,2020 PANINI SELECT PRIME SELECTIONS PRIZM SIGNATURES #PSSJHE JUSTIN HERBERT NEON ORANGE PULSAR 21/25,63675747,PSA,9,Vaulted
Active,2025 PANINI NATIONAL SPORTS COLLECTORS CONVENTION VIP GOLD #RC18 VJ EDGECOMBE PANINI,131000000,PSA,10,Vaulted
Active,2017 PANINI DONRUSS OPTIC COURT KINGS #5 LeBRON JAMES BLUE,49286014,PSA,9,Vaulted
Active,2019 TOPPS CHROME FUTURE STARS #FS-1 SHOHEI OHTANI,85496564,PSA,10,Unvaulted
Active,"1x Raw 2013 NHL Panini Titanium Rookie Gear, Alex Galchenyuk, No. RA-AG; Autographed | Ineligible",VIH00000044204,VIH,-,Unvaulted
Active,2019 PANINI FLAWLESS PREMIUM INK #PISCY STEPHEN CURRY 1/25,127000000,PSA,9,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SEND HOME | x1 Raw 2025 Impeccable Kyle Teel No.EJA-KT Autographed,VIH00000042261,VIH,-,Returning
Active,"Ineligible Items, PLEASE SEND HOME | Raw Cards",VIH00000042693,VIH,-,Returning
Active,"Ineligible Item, PLEASE SEND HOME | Raw Card",VIH00000042694,VIH,-,Returning
Active,INELLIGIBLE ITEM - PLEASE SHIP HOME | All Kings card - Anthony Edwards Minnesota Timberwolves,vih00000043206,VIH,-,Returning
Active,INELIGIBLE ITEM- PLEASE SHIP HOME! | 1x raw football card- 2021 Panini Contenders Optic MAC JONES #RPA-MJO with patch and autograph,VIH00000043719,VIH,-,Unvaulted
Active,2018 Panini National Convention Gold VIP Memorabilia 5 #64 Stephen Curry,0015208042,BGS,8,Unvaulted
Active,INELIGIBLE ITEMS- PLEASE SHIP HOME! | 3x raw basketball cards-2024-25 Panini Select #84 ROB DILLINGHAM rookie card- 2024-25 Panini Mosaic RON HOLLAND II #258 & STEPHEN CURRY #15,VIH00000042244,VIH,-,Unvaulted
Active,INELIGIBLE ITEMS- PLEASE SHIP HOME! | 8x raw sports cards total- 6x hockey cards and 2x basketball cards,VIH00000042273,VIH,-,Unvaulted
Active,INELIGIBLE ITEMS - PLEASE SEND BACK | 1 raw 2025 Topps New School VJ Edgecombe #NS-3 numbered 86/99 and 12 assorted Panini Donruss Optic basketball cards,VIH00000042099,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | 5x Raw Cards: Assorted 2024 Panini NBA Hoops (x4) 2023 Bowman U Best of 2022 Jacob Toppin Autograph [#32/50],VIH00000043633,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SEND HOME | x1 Raw 2021 Panini Legacy Futures No.FP-CH Chuba Hubbard Autographed 07/10,VIH00000042604,VIH,-,Unvaulted
Active,ineligible item- send home | Raw Card,VIH00000042038,VIH,-,Unvaulted
Active,INELIGIBLE ITEM | Unaccepted raw card from AG,VIH00000043109,VIH,-,Unvaulted
Active,"PLEASE SEND HOME - UNACCEPTED ITEM | 2x Raw Cards 2017-18 Panini Giannis Antetokounmpo Auto, 2024-25 Panini Giannis Antetokounmpo Auto",VIH00000044895,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SEND HOME | x1 Raw 2021-22 Panini Contenders Jalen Suggs #5 23/25,VIH00000042735,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | Unaccepted raw card from AG,VIH00000042856,VIH,-,Unvaulted
Active,"Ineligible Item, PLEASE SEND HOME | Raw Card",VIH00000044293,VIH,-,Unvaulted
Active,Ineligible Item - Please Send Home | 6x Raw Cards: Assorted Sports Cards,VIH00000043517,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | Unaccepted raw card from AG,VIH00000042869,VIH,-,Unvaulted
Active,INELIGIBLE ITEM - PLEASE SHIP HOME | Unaccepted raw card from AG,VIH00000043287,VIH,-,Unvaulted
