cert_number,subject,grade,grade_description,card_number,year,brand,variety,label_type,category,reverse_cert,is_authentic
106425388,JUSTIN HERBERT,10.0,GEM MT 10,SEN6,2022,PANINI SELECT SENSATIONS,SENSATIONS-BLACK PRIZM 1/1,LighthouseLabel,FOOTBALL CARDS,,False
87509842,CAITLIN CLARK,10.0,GEM MT 10,07B22,2023,BOWMAN UNIVERSITY CHROME 2007-08 BOWMAN,2007-08 BOWMAN-GOLD REF,LighthouseLabel,BASKETBALL CARDS,,False
116464626,CJ STROUD,10.0,GEM MT 10,2,2024,PANINI ABSOLUTE KABOOM! HORIZONTAL,,LighthouseLabel,FOOTBALL CARDS,,False
63137038,LIONEL MESSI,9.0,MINT 9,89,2004-05,PANINI SPORTS MEGA CRACKS BARCA,MEGA CRACKS BARCA-CAMPEON,LighthouseLabel,SOCCER CARDS,,False
85222231,YOSHINOBU YAMAMOTO,9.0,MINT 9,37,2023,BOWMAN NPB,CHROME-ORANGE REFRACTOR,LighthouseLabel,BASEBALL CARDS,,False
120648327,STEPHEN CURRY,10.0,GEM MT 10,21,2023,PANINI PRIZM KALEIDOSCOPIC,KALEIDOSCOPIC-GOLD PRIZM,LighthouseLabel,BASKETBALL CARDS,,False
97577827,MIKAL BRIDGES,10.0,GEM MT 10,CGMB,2023,TOPPS CHROME TOPPS CHROME AUTOGRAPHS,AUTOGRAPH-GOLD REFRACTOR,LighthouseLabel,BASKETBALL CARDS,,False
23084298,MIKE STANTON,10.0,GEM MT 10,190,2010,TOPPS CHROME,REFRACTOR,PreviousLabel,BASEBALL CARDS,,False
121750653,S. GILGEOUS-ALEXANDER,,N0: AUTHENTIC,IPASGA,2023,PANINI IMMACULATE COLLECTION PATCH AUTOGRAPHS,PATCH AUTOGRAPH-GOLD,LighthouseLabel,BASKETBALL CARDS,,False
72383626,ANTHONY EDWARDS,9.0,MINT 9,FBAEW,2021,PANINI DONRUSS OPTIC FAST BREAK SIGNATURES,FAST BREAK SIG-GOLD,LighthouseLabel,BASKETBALL CARDS,,False
98905200,LAMINE YAMAL,9.0,MINT 9,LY,2023-24,TOPPS CHROME UEFA CLUB COMPETITIONS BLACK LAZER AUTOGRAPHS,,LighthouseLabel,SOCCER CARDS,,False
63754311,JAYSON TATUM,10.0,GEM MT 10,VTJTA,2020,PANINI CONTENDERS OPTIC VETERAN SEASON TICKET AUTOGRAPHS,VET.SEAS.TKT.AU-ORN.,LighthouseLabel,BASKETBALL CARDS,,False
66494565,LeBRON JAMES,9.0,MINT 9,43,2003,eTOPPS,,LighthouseLabel,BASKETBALL CARDS,,False
114372462,MANTLE/RUTH/GEHRIG,10.0,GEM MT 10,MRG,2019,PANINI FLAWLESS TRIPLE LEGENDS,TRIPLE LEGENDS-SAPPHIRE,LighthouseLabel,BASEBALL CARDS,,False
95693753,LUKA DONCIC,9.0,MINT 9,SCSLUD,2022,PANINI IMMACULATE COLLECTION SCORERS CLUB SIGNATURES,SCORERS CLUB SIGNATURE,LighthouseLabel,BASKETBALL CARDS,,False
96012155,CAITLIN CLARK,9.0,MINT 9,B23CC,2023,BOWMAN UNIVERSITY BEST BEST OF 2023 AUTOGRAPHS,BEST/'23 AU-GEO RED REF,LighthouseLabel,BASKETBALL CARDS,,False
94483258,MIKE SCHMIDT,10.0,GEM MT 10,IPAMS,2024,TOPPS TRIBUTE ICONIC PERSPECTIVES AUTOGRAPHS,,LighthouseLabel,BASEBALL CARDS,,False
120943345,ANTHONY EDWARDS,9.0,MINT 9,AED,2020,PANINI NATIONAL TREASURES ROOKIE PRIVATE SIGNINGS,RKE.PRIVATE SIGNINGS-ASC.,LighthouseLabel,BASKETBALL CARDS,,False
65147563,LUKA DONCIC,9.0,MINT 9,LUK,2020,PANINI MOSAIC AUTOGRAPHS MOSAIC,AUTOGRAPHS MOSAIC,LighthouseLabel,BASKETBALL CARDS,,False
85222228,YOSHINOBU YAMAMOTO,9.0,MINT 9,01-1,2023,TOPPS NPB CHROME TOPPS 2001,TOPPS 2001-ORANGE REF.,LighthouseLabel,BASEBALL CARDS,,False
126393754,PAUL SKENES,8.5,NM-MT+ 8.5,PS,2025,TOPPS CHROME BLACK AUTOGRAPHS,AUTO-GOLD REFRACTOR,LighthouseLabel,BASEBALL CARDS,,False
98904159,YAO MING,,N0: AUTHENTIC,13,2016,PANINI GOLD STANDARD MOTHER LODE AUTOGRAPHS,MOTHER LODE AUTO,LighthouseLabel,BASKETBALL CARDS,,False
135924481,SHOHEI OHTANI,9.0,MINT 9,15,2024,TOPPS 50/50 SHOHEI OHTANI,CHROME-ROSE GOLD REFRACTOR,LighthouseLabel,BASEBALL CARDS,,False
136944511,YOSHINOBU YAMAMOTO,8.0,NM-MT 8,T90-84,2025,TOPPS 1990 TOPPS BASEBALL,1990 TOPPS-RED,LighthouseLabel,BASEBALL CARDS,,False
120703580,VICTOR WEMBANYAMA,9.0,MINT 9,57,2023,PANINI IMMACULATE COLLECTION,GOLD,LighthouseLabel,BASKETBALL CARDS,,False
126949500,JULIUS ERVING,9.0,MINT 9,S-JE,2012,UPPER DECK EXQUISITE COLLECTION SIGNATURES,SIGNATURES,LighthouseLabel,BASKETBALL CARDS,,False
66441936,LIONEL MESSI,8.0,NM-MT 8,35,2004-05,PANINI SPORTS MEGA CRACKS BARCA,MEGA CRACKS BARCA-CAMPIO,LighthouseLabel,SOCCER CARDS,,False
136780260,KYLIAN MBAPPE,9.0,MINT 9,59,2025,PANINI NATIONAL SPORTS COLLECTORS CONVENTION VIP GOLD,GOLD,LighthouseLabel,MULTI-SPORT CARDS,,False
97351741,YAO MING,,N0: AUTHENTIC,A58,2003,UPPER DECK ROOKIE EXCLUSIVES,ROOKIE EXCLUSIVES-AUTO.,LighthouseLabel,BASKETBALL CARDS,,False
64868004,STEPHEN CURRY,9.0,MINT 9,SCR,2015,PANINI NATIONAL TREASURES CLUTCH FACTOR JERSEY AUTOGRAPHS,CLUTCH FACTOR JERSEY AUTO.,LighthouseLabel,BASKETBALL CARDS,,False
114930602,COOPER FLAGG,10.0,GEM MT 10,FEACF,2024,BOWMAN CHROME UNIVERSITY FINAL EXAM AUTOGRAPHS,,LighthouseLabel,BASKETBALL CARDS,,False
133580570,ALLEN IVERSON,10.0,GEM MT 10,262,2024,PANINI PRIZM BLACK,GOLD PRIZM,LighthouseLabel,BASKETBALL CARDS,,False
131642791,NIKOLA JOKIC,,N0: AUTHENTIC,27,2015,PANINI IMMACULATE COLLECTION AUTOGRAPHS,AUTOGRAPHS-RED,LighthouseLabel,BASKETBALL CARDS,,False
136323233,MIKE TROUT,8.0,NM-MT 8,AK7,2025,TOPPS ALL KINGS,,LighthouseLabel,BASEBALL CARDS,,False
68623196,KOBE BRYANT,10.0,GEM MT 10,262,1997,FINEST,REFRACTOR,LighthouseLabel,BASKETBALL CARDS,,False
132153763,HANNAH HIDALGO,9.0,MINT 9,17B,2024,BOWMAN U NOW,AUTOGRAPH-PURPLE,LighthouseLabel,BASKETBALL CARDS,,False
99978259,YAO MING,,N0: AUTHENTIC,185,2002,TOPPS,,LighthouseLabel,BASKETBALL CARDS,,False
76397134,TYRESE MAXEY,8.0,NM-MT 8,TMA,2020,PANINI ABSOLUTE MEMORABILIA TOOLS OF THE TRADE SWATCH SIGNATURES,TLS/TRD 3 SWATCH SIG.,LighthouseLabel,BASKETBALL CARDS,,False
141440363,FERNANDO MENDOZA,9.0,MINT 9,109,2025,BOWMAN UNIVERSITY CHROME,BLACK REFRACTOR,LighthouseLabel,FOOTBALL CARDS,,False
136947718,ANGEL REESE,10.0,GEM MT 10,12,2024,PANINI ROOKIE ROYALTY WNBA DOWNTOWN,,LighthouseLabel,BASKETBALL CARDS,,False
125626607,ERLING HAALAND,10.0,GEM MT 10,200,2021,TOPPS CHROME UEFA CHAMPIONS LEAGUE,RED REFRACTOR,LighthouseLabel,SOCCER CARDS,,False
128527494,COOPER FLAGG,10.0,GEM MT 10,1,2025,PANINI INSTANT NBA DRAFT NIGHT,,LighthouseLabel,BASKETBALL CARDS,,False
111400579,CAITLIN CLARK,10.0,GEM MT 10,72,2024,PANINI SELECT WNBA,GOLD PRIZM,LighthouseLabel,BASKETBALL CARDS,,False
70525298,VLADIMIR GUERRERO JR.,9.0,MINT 9,BCP55,2016,BOWMAN PROSPECTS,CHR-GOLD REFRACTOR,LighthouseLabel,BASEBALL CARDS,,False
79400339,KYLIAN MBAPPE,9.0,MINT 9,AUKM,2021-22,TOPPS CHROME PARIS SAINT-GERMAIN AUTOGRAPHS,AUTO-WAVE REFRACTOR,LighthouseLabel,SOCCER CARDS,,False
03185302,KOBE BRYANT,10.0,GEM MT 10,74,1996,FINEST,,PreviousLabel,BASKETBALL CARDS,,False
91028250,ANTHONY EDWARDS,10.0,GEM MT 10,151,2020,PANINI DONRUSS OPTIC,AUTOGRAPH-CHOICE,LighthouseLabel,BASKETBALL CARDS,,False
95106789,VICTOR WEMBANYAMA,10.0,GEM MT 10,87,2023,PANINI SELECT,RED CRACKED ICE,LighthouseLabel,BASKETBALL CARDS,,False
119038174,LAMINE YAMAL,,N0: AUTHENTIC,LY,2024-25,TOPPS CHROME UEFA CLUB COMPETITIONS FUTURE STARS AUTOGRAPHS,FSA-TOPPSFRACTOR,LighthouseLabel,SOCCER CARDS,,False
03533486,FRANK THOMAS,9.0,MINT 9,300,1990,LEAF,,PreviousLabel,BASEBALL CARDS,,False
87311665,VICTOR WEMBANYAMA,10.0,GEM MT 10,BOAVW,2022,BOWMAN UNIVERSITY BEST BEST OF 2022 AUTOGRAPH,BEST OF 2022 AUTOGRAPH,LighthouseLabel,BASKETBALL CARDS,,False
67099241,ANTHONY EDWARDS,,N0: AUTHENTIC,AED,2020,PANINI ONE AND ONE ROOKIE JERSEY AUTOGRAPHS,RK.JSY.AUTO-PURPLE,LighthouseLabel,BASKETBALL CARDS,,False
111029076,JACKSON MERRILL,10.0,GEM MT 10,B24JM,2024,BOWMAN'S BEST BEST OF 2024 AUTOGRAPHS,BEST OF 2024 AUTO-REFRACTOR,LighthouseLabel,BASEBALL CARDS,,False
134665754,KOBE BRYANT,9.0,MINT 9,1G,1997,ULTRA,GOLD MEDALLION,LighthouseLabel,BASKETBALL CARDS,,False
102621215,YAO MING,10.0,GEM MT 10,142,2012,PANINI CRUSADE PRIZM,GREEN & GOLD,LighthouseLabel,BASKETBALL CARDS,,False
142786505,SHOHEI OHTANI,9.0,MINT 9,39,2024,TOPPS 50/50 SHOHEI OHTANI,CHROME-RED REFRACTOR,LighthouseLabel,BASEBALL CARDS,,False
86381234,LAMINE YAMAL,9.0,MINT 9,,2023-24,TOPPS DECO UEFA CLUB COMPETITIONS,PRODIGY-RED,LighthouseLabel,SOCCER CARDS,,False
113981684,ALBERT PUJOLS,9.0,MINT 9,DAPAP2,2023,TOPPS DYNASTY AUTOGRAPHED PATCH,AUTOGRAPHED PATCH-SILVER,LighthouseLabel,BASEBALL CARDS,,False
120061744,CALEB WILLIAMS,10.0,GEM MT 10,RACWI,2024,TOPPS CHROME SAPPHIRE ROOKIE AUTOGRAPHS,,LighthouseLabel,FOOTBALL CARDS,,False
63962554,STEPHEN CURRY,8.0,NM-MT 8,321,2009,TOPPS,,LighthouseLabel,BASKETBALL CARDS,,False
85613697,CALEB WILLIAMS,9.0,MINT 9,1,2023,BOWMAN UNIVERSITY CHROME,AUTO-YELLOW REFRACTOR,LighthouseLabel,FOOTBALL CARDS,,False
96536274,PAUL SKENES,9.0,MINT 9,DPPAPS,2023,BOWMAN DRAFT DRAFT PICKS & PROSPECTS AUTOGRAPH,DP & PROSPECTS AUTO-RED REF,LighthouseLabel,BASEBALL CARDS,,False
